id,class,color,name,longitude,latitude
fr217,councildata,#4b4c7a,CALLE POTOSI 8,-3.678541000000000,40.456823800000002
fr218,councildata,#4b4c7a,CALLE TIMON 30,-3.588363300000000,40.472352899999997
fr219,councildata,#4b4c7a,CALLE BRAVO MURILLO 155,-3.703477899999999,40.451737600000001
fr220,councildata,#4b4c7a,CALLE BRAVO MURILLO 159,-3.703478500000000,40.452082900000001
fr221,councildata,#4b4c7a,CALLE ORENSE 23,-3.695408500000000,40.451005599999988
fr222,councildata,#4b4c7a,CALLE BRAVO MURILLO 208,-3.701576600000000,40.457014999999998
fr223,councildata,#4b4c7a,CALLE BRAVO MURILLO 228,-3.700607600000000,40.458275500000013
fr224,councildata,#4b4c7a,CALLE PENSAMIENTO 2,-3.699007500000000,40.459613500000003
fr225,councildata,#4b4c7a,CALLE CAPITAN BLANCO ARGIBAY 24,-3.697693100000000,40.465217099999997
fr226,councildata,#4b4c7a,CALLE BRAVO MURILLO 294,-3.697447699999999,40.461970200000003
fr227,councildata,#4b4c7a,CALLE MARQUES DE VIANA 29,-3.700799400000000,40.461718699999999
fr228,councildata,#4b4c7a,CALLE FRANCOS RODRIGUEZ 30,-3.704456900000000,40.456044400000003
fr229,councildata,#4b4c7a,CALLE BRAVO MURILLO 174,-3.702771000000000,40.453865999999998
fr230,councildata,#4b4c7a,AVENIDA ASTURIAS 53,-3.697858100000000,40.471015399999999
fr231,councildata,#4b4c7a,CALLE GUZMAN EL BUENO 67,-3.713228500000000,40.435983299999997
fr232,councildata,#4b4c7a,CALLE JERONIMO DE LA QUINTANA 11,-3.704684100000000,40.431315800000000
fr233,councildata,#4b4c7a,CALLE SANTA ENGRACIA 73,-3.699084700000000,40.435265299999998
fr234,councildata,#4b4c7a,CALLE ELOY GONZALO 27,-3.700515100000000,40.434714000000000
fr235,councildata,#4b4c7a,CALLE PONZANO 61,-3.699293000000000,40.441583000000001
fr236,councildata,#4b4c7a,CALLE PONCE DE LEON 2,-3.698813300000000,40.435969299999996
fr237,councildata,#4b4c7a,GLORIETA CUATRO CAMINOS 1,-3.704366900000000,40.446587000000001
fr238,councildata,#4b4c7a,AVENIDA REINA VICTORIA 5,-3.704684100000000,40.446497399999998
fr239,councildata,#4b4c7a,GLORIETA LOS CARMENES 1,-3.743072600000000,40.395253300000000
fr240,councildata,#4b4c7a,PASEO EXTREMADURA 34,-3.729016400000000,40.413637700000002
