company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,SALON NIAGARA,"ITALIA, 27, San Bartolome De Tirajana",27.9249459,-15.5730295,35290,San Bartolomé de Tirajana,San Bartolomé de Tirajana,Canary Islands,Spain
codere,SALON OASIS,"PASEO COSTA CANARIA, 24, Maspalom",27.7541198,-15.5686887,35100,Maspalomas,San Bartolomé de Tirajana,Canary Islands,Spain
codere,SALON OCIO 21,"POETA JOSÉ MARÍA ALVARIÑO, S/N, Cordoba",37.9020347,-4.7976139,14960,Córdoba,Córdoba,Andalusia,Spain
codere,SALON OCIO 21 FUERTEVENTURA,"ISLA FUERTEVENTURA, 55, Cordoba",28.3587436,-14.053676,35638,,Tuineje,Canary Islands,Spain
codere,SALON ONIL,"DE LA PAZ, 4, Onil",38.6287655,-0.6737468,03430,Onil,Onil,Valencian Community,Spain
codere,SALON ONTENIENTE,"TEXTIL, 26, Ontiyent",38.8220593,-0.6063927,46870,Ontinyent,Ontinyent,Valencian Community,Spain
codere,SALON ORENES MANUEL AZAÑA,"MANUEL AZAÑA, 2, Alcala De Henares",40.4873121,-3.3615802,28805,Alcala de Henares,Alcalá de Henares,Community of Madrid,Spain
codere,SALON PARIS,"CORREDERA DE SAN MARCOS, 28, Linares",38.0962667,-3.6344268,23700,Linares,Linares,Andalusia,Spain
codere,SALON PARIS,"TOMAS MILLER, 61, Palmas Gran Canaria",28.1399484,-15.4337057,35007,Las Palmas de Gran Canaria,Las Palmas,Canary Islands,Spain
codere,SALON PEDROÑERAS,"JUAN XXIII, 23, Las Pedroñeras",39.4491841,-2.6751588,16660,Las Pedroñeras,Las Pedroñeras,Castile-La Mancha,Spain
codere,SALON PEGO,"POLSEGUERA, 5, Pego",38.8433427,-0.1162165,03780,Pego,Pego,Valencian Community,Spain
codere,SALON PEÑA PRIETA,"PEÑA PRIETA, 62, Madrid",40.4019707,-3.6646191,28038,Madrid,Madrid,Community of Madrid,Spain
codere,SALON PIEDRA,"Pasaje DE PERALES, 1, San Martín de la Vega",40.2122223,-3.5703932,28330,San Martín de la Vega,San Martín de la Vega,Community of Madrid,Spain
codere,SALON PLASENCIA,"DE ESPAÑA, 23, Plasencia",40.0279291,-6.0897124,10600,Plasencia,Plasencia,Extremadura,Spain
codere,SALON PODIUM ARANJUEZ,"Calle MORERAS, 25, Aranjuez",40.0356126,-3.5958928,28300,Aranjuez,Aranjuez,Community of Madrid,Spain
codere,SALON PODIUM CIEMPOZUELOS,"ESTACION, 6, Ciempozuelos",40.1593526,-3.6162837,28350,Ciempozuelos,Ciempozuelos,Community of Madrid,Spain
codere,SALON PORTUGAL,"PORTUGAL, 44, Fuenlabrada",40.2846552,-3.8092581,28943,Fuenlabrada,Fuenlabrada,Community of Madrid,Spain
codere,SALON PUEBLA,"MADRID, 5, Puebla De Montalban",39.864973,-4.359893,45516,La Puebla de Montalbán,La Puebla de Montalbán,Castile-La Mancha,Spain
codere,SALON QUINTANAR DE LA ORDEN,"GRANDE, 33",39.5881193,-3.0423581,45800,Quintanar de la Orden,Quintanar de la Orden,Castile-La Mancha,Spain
codere,SALON RAMBLA,"GENERAL PRIMO DE RIVERA, 14, Alicante",38.34749720000001,-0.4841001,03002,Alicante,Alicante,Valencian Community,Spain
codere,SALON REAL,"REAL, 25, San Juan del Puerto",37.3151678,-6.839066799999999,21610,San Juan del Puerto,San Juan del Puerto,Andalusia,Spain
