"id","name","longitude","latitude","class","color"
"ense182","CEIP Rufino Blanco","-3.7022263","40.43831","ense","#ffa258"
"ense183","CEIP Sagunto","-3.6849013","40.34116770000001","ense","#ffa258"
"ense184","CEIP San Carlos","-3.7118445","40.3434903","ense","#ffa258"
"ense185","CEIP San Eugenio y San Isidro","-3.7031673","40.4021671","ense","#ffa258"
"ense186","CEIP San Ignacio de Loyola","-3.7217048","40.3848602","ense","#ffa258"
"ense187","CEIP San Ildefonso","-3.7121025","40.4129632","ense","#ffa258"
"ense188","CEIP San Isidoro","-3.6813242","40.4065158","ense","#ffa258"
"ense189","CEIP San Juan de la Cruz","-3.6794773","40.4594054","ense","#ffa258"
"ense190","CEIP San Pablo","-3.6512143","40.389927","ense","#ffa258"
"ense191","CEIP Santa María","-3.7068524","40.4061026","ense","#ffa258"
"ense192","CEIP Santo Domingo","-3.646525399999999","40.3908937","ense","#ffa258"
"ense193","CEIP Tirso de Molina","-3.687886799999999","40.3925451","ense","#ffa258"
"ense194","CEIP La Alameda","-3.6075839","40.43778","ense","#ffa258"
"ense195","CEIP Arcipreste de Hita","-3.7255615","40.3848263","ense","#ffa258"
"ense196","CEIP Portugal","-3.7147352","40.4248823","ense","#ffa258"
"ense197","CEIP Tomás Bretón","-3.7155473","40.4012293","ense","#ffa258"
"ense198","CEIP Amador de los Ríos","-3.666161","40.425737","ense","#ffa258"
"ense199","CEIP Aravaca","-3.7856928","40.46059169999999","ense","#ffa258"
"ense200","CEIP Carlos V","-3.6518493","40.4387467","ense","#ffa258"
"ense201","CEIP Carmen Cabezuelo","-3.6288651","40.4298984","ense","#ffa258"
"ense202","CEIP Concepción Arenal","-3.7151497","40.397251","ense","#ffa258"
"ense203","CEIP Doctor Conde Arruga","-3.6435188","40.4040104","ense","#ffa258"
"ense204","CEIP Costa Rica","-3.755978","40.385509","ense","#ffa258"
"ense205","CEIP Cuba","-3.761107","40.3951667","ense","#ffa258"
"ense206","CEIP Doctor Federico Rubio","-3.7113375","40.45243749999999","ense","#ffa258"
"ense207","CEIP Ermita del Santo","-3.723954","40.4110597","ense","#ffa258"
"ense208","CEIP Felipe II","-3.697564499999999","40.472874","ense","#ffa258"
"ense209","CEIP Fernández Moratín","-3.727295","40.426741","ense","#ffa258"
"ense210","CEIP Fernando El Católico","-3.709015299999999","40.4340613","ense","#ffa258"
"ense211","CEIP Francisco de Luis","-3.6602827","40.4088428","ense","#ffa258"
"ense212","CEIP García Morente","-3.6654656","40.3733964","ense","#ffa258"
