CD_CENTRO,ETIQUETA,DIRECCION,CMUNI,MUNICIPIO,UTM_Y,UTM_X
28073847,EEI Las Flores de La Fortuna,"Calle Oporto, 6",074,Leganés,4467642,433127
28073859,IES Manuel Fraga Iribarne,"Avda Niceto Alcalá Zamora, 54",079,Madrid,4483369,444411
28073872,CEIP Puerta de la Sierra,"Calle Placer de Ver, 22",169,Venturada,4516555,447265
28073884,CEIP Fuentes Claras,"Calle San Isidro, s/n",050,Cubas de la Sagra,4448993,428661
28073896,CEIP Abad y Harija,"Calle Gabriel Cisneros, s/n",149,Torrejón de la Calzada,4450114,430943
28073902,CEIP El Trigal,"Calle Álava, 11",058,Fuenlabrada,4460645,431998
28073914,CEIP Emperador Carlos V,"Calle Magallanes, s/n",065,Getafe,4463123,438033
28073926,CEIP Antonio Mingote,"Calle Arturo Soria, 7",005,Alcalá de Henares,4481428,467106
28073938,CEIP Charles Dickens,"Calle Berlín, 1",075,Loeches,4471099,464921
28073941,CEIP William Shakespeare,"Calle Puerto de Bilbao, 1",049,Coslada,4474313,451018
28073963,CEIP Las Navas de Tolosa,"Avda Circunvalación, 353",104,Paracuellos de Jarama,4483677,457312
28074013,EEI Koala,"Avda María Guerrero, 161",074,Leganés,4466138,437180
28074025,EEI Primeros pasos,"Calle Zamora, 8",074,Leganés,4463390,435916
28074037,IES Jorge Guillén,"Calle Olímpico Francisco Fernández Ochoa, 8",007,Alcorcón,4465748,430441
28074049,IES Gonzalo Chacón,"Avda Francia c/v C/ Noruega, s/n",015,Arroyomolinos,4459766,421715
28074050,IES José Luis López Aranguren,"Calle Colombia, 28-30",058,Fuenlabrada,4460715,433592
28074062,IES Neil Armstrong,"Ronda San Sebastian, 10",161,Valdemoro,4448972,443189
28074177,EEI El Trébol,"Calle Trébol, 2",140,Serranillos del Valle,4450839,425017
28074244,IES Pedro Salinas,"Calle General Marvá, 24-26",079,Madrid,4471187,439847
28074256,CEIP José de Echegaray,"Calle Puentedey, 14",079,Madrid,4468720,447995
28074566,EEI La Cabrera,"Calle Paraguay, 17",030,Cabrera (La),4524251,448190
28074578,CEIP Margaret Thatcher,"Calle Playa de Barlovento 40 c/v Calle Valhondo, s/n",079,Madrid,4480209,449876
28074581,CEIP Alicia de Larrocha,"Calle Río Guadarrama, 5",005,Alcalá de Henares,4480258,469224
28074591,CEIP Alfredo Landa,"Avda Lisboa, 9",049,Coslada,4474177,454036
28074608,CEIP Antoni Tapies,"Calle Venezuela, 12",049,Coslada,4475372,454140
28074669,IES Menéndez Pelayo,"Avda Ciudades, s/n (Entrada por Calle Montserrat Caballé, 4)",065,Getafe,4463455,438572
28074670,IES Juan Gris,"Avda O.N.U., 85-87",092,Móstoles,4462583,427396
28074700,EA Manuel Rodríguez Sales,"Plaza Pablo Casals, 1",074,Leganés,4463925,434567
28074712,EEI Marionetas (Programa Casa de NIños),"Calle Salvador Allende, 6",148,Torrejón de Ardoz,4478887,458715
28074724,EEI Petirrojo,"Calle Antonio Machado, 5",149,Torrejón de la Calzada,4450720,431768
28074751,EEI Victoria Kamhi,"Avda Memorial de la Paz de Hiroshima, 3",013,Aranjuez,4435277,449040
28074773,EEI La Mimosa,"Calle Tía Javiera, 4",058,Fuenlabrada,4461871,428473
28074852,IES El Cañaveral,"Avda O.N.U., 81",092,Móstoles,4462807,427589
28074918,IES Francisco de Ayala,"Calle Jacobeo, 33",079,Madrid,4468650,435398
28075066,EEI Los Enebros,"Calle Mariano Prados, 8",045,Colmenar Viejo,4501152,435491
28075078,EEI El Almendro,"Calle Juan Gris, 3",045,Colmenar Viejo,4502714,434537
28075169,EEI Pimpollitos,"Calle Asturias, 91",113,Pinto,4456411,441045
28075170,EEI Miraflores de la Sierra,"Avda Constitución, 3",085,Miraflores de la Sierra,4518232,435720
28075261,EEI Rio de Alisos,"Calle Manzanares, 13",067,Guadalix de la Sierra,4514921,441067
28075273,EEI Triángulo,"Calle Córdoba, 15",113,Pinto,4454985,440880
28075285,EEI Caracol Col Col,"Calle Tablas de Daimiel, s/n",040,Ciempozuelos,4444958,446343
28075340,EEI Platero y Yo,"Calle Jacinto Benavente, 15",073,Humanes de Madrid,4456931,429972
28075492,IES Rafael de Frühbeck de Burgos,"Calle Humanes de Madrid, 14",074,Leganés,4462425,433017
28075509,IES Humanes en Cubas de la Sagra,"Calle Los Almendros, s/n",050,Cubas de la Sagra,4449945,428154
28075510,IES José García Nieto,"Calle Camilo José Cela, s/n (Junto a Centro de las Artes)",127,Rozas de Madrid (Las),4486297,424416
28075546,CEIP Héroes del 2 de Mayo,"Calle del Orient Express, s/n",045,Colmenar Viejo,4500487,433479
28075753,EEI El Romancero,"Calle Dinamarca, 11",074,Leganés,4465725,436917
28075777,CEIP Blas de Lezo,"Calle Fromistá, 27",079,Madrid,4484720,443021
28075789,EEI Puerta de Madrid,"Calle Juan de Vergara, 6",005,Alcalá de Henares,4480875,468194
28075820,CEE Hospital Universitario Príncipe de Asturias,"Carretera De Meco, s/n",005,Alcalá de Henares,4484534,470500
28075856,EEI La Piñata,"Calle Costa Rica, 19",058,Fuenlabrada,4460286,433410
28075868,EEI Rosa Caramelo,"Calle Gabriela Mistral, 8",074,Leganés,4466233,436674
28075871,EEI Don Melitón,"Calle Arturo Soria, 5",005,Alcalá de Henares,4481410,467005
28076022,EEI El Sacapuntas,"Calle Ciencias, 27",058,Fuenlabrada,4459276,430898
28076034,EEI Trébol,"Calle Asturias, 89",113,Pinto,4456365,441043
28076046,EEI Las Casitas,"Calle Madrid, 38",044,Colmenarejo,4490072,414187
28076101,EEI Adivinanzas,"Calle Palmeras, 1",007,Alcorcón,4466010,429001
28076290,CEIP Tempranales,"Bulevar de los Picos de Europa, 10",134,San Sebastián de los Reyes,4490047,445417
28076307,CEIP Miguel de Cervantes,Calle De Maritornes C/v Calle Insula Malindrania,065,Getafe,4462945,439945
28076319,CEE Santiago Ramón y Cajal,"Avenida Vereda del Camuerzo, 1",065,Getafe,4461242,436924
28076320,CEIP Blas de Lezo,"Calle Estrella Denébola, 13",106,Parla,4453268,436243
28076368,IES Alfredo Kraus,"Avenida de Guadalajara, 126",079,Madrid,4474971,448448
28076371,IES Juan Ramón Jiménez,"Calle de la Estefanita, 15",079,Madrid,4466082,442738
28076381,IES Luis de Góngora,"Avenida Clara Campoamor, s/n",075,Loeches,4470439,464781
28076401,EEI El Naranjo (Programa Casa de Niños),"Paseo Riazor, s/n",058,Fuenlabrada,4461627,431134
28076472,EEI El Faro (Programa Casa de Niños),"Avenida de Talavera de la Reina, 12A",134,San Sebastián de los Reyes,4489704,445766
28076587,EEI Monte Abantos (Programa Cn),"Calle Calvario, 43",131,San Lorenzo de El Escorial,4494049,403154
28076599,EEI Albaicín (Programa Casa de Niños),"Calle del Albaicín, 1",079,Madrid,4468877,440421
28076629,EEI El Trébol (Programa Casa de Niños),"Calle Tristana, 2",079,Madrid,4470465,444467
28076691,EEI El Señor Don Gato (Programa Casa de Niños),"Calle de los Poetas, 18",079,Madrid,4471848,447317
28076770,EEI Virgen del Soto  (Programa Casa de Niños),"Calle San Juan de la Cruz, 6",177,Villanueva del Pardillo,4482663,418115
28077002,EEI El Roble (Programa Casa de Niños),"Glorieta de Lituania, 1",161,Valdemoro,4448495,442773
28077014,EEI El Rodari (Programa Casa de Niños),"Avenida Villaviciosa, 19-B",007,Alcorcón,4467081,429104
28077105,CEE Cesed,"Calle Martín Fierro, 5",079,Madrid,4476517,437864
28077142,EEI El Calimero (Programa Casa de Niños),"Calle Amapolas, s/n",047,Collado Villalba,4499301,414746
28077208,CEIP Andrea Casamayor,"Calle Santiago Apóstol, 1",104,Paracuellos de Jarama,4483451,456894
28077211,CEIP El Bercial,"Calle Camerún, s/n",065,Getafe,4464322,437868
28077233,EEI Santiago Apóstol (Programa Casa de Niños),"Calle Santiago Apóstol, 1",104,Paracuellos de Jarama,4483451,456894
