"id_local","clase_vial_acceso","desc_vial_acceso","num_acceso","rotulo","desc_seccion","desc_division","lng","lat","label"
129,"CALLE","GUZMAN EL BUENO",13,"SALON ARGUELLES","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.713743199999999","40.4314829",
130,"CALLE","RODRIGUEZ SAN PEDRO",73,"SALON DE JUEGOS JM","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.716572","40.4318161",
131,"CALLE","GUZMAN EL BUENO",67,"SALON DE JUEGO TREBOL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7132285","40.4359833",
132,"CALLE","PONZANO",61,"SALON DE JUEGOS PREMIUM","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.699293","40.441583",
133,"CALLE","FUENCARRAL",112,"LUCKIA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7023596","40.4295312",
134,"GLORIETA","BILBAO",4,"SOLPARK","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.701988399999999","40.4294145",
135,"CALLE","JERONIMO DE LA QUINTANA",11,"SALON DE JUEGO NEVADA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7046841","40.4313158",
136,"CALLE","ELOY GONZALO",27,"ARCADIA SAL0N DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7005151","40.434714",
137,"AVENIDA","REINA VICTORIA",5,"SALON NEVADA CUATRO CAMINOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7046841","40.4464974",
138,"CALLE","BRAVO MURILLO",95,"NO SOLICITADO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7042083","40.4461152",
